entry_time,entry_price,trade_type,stop_loss_price,target_price,amount_risked,exit_time,exit_price,exit_reason,pl,dollar_pl,percent_pl,win_or_loss,position_size
2022-10-26 10:20:00-04:00,226.1,Short,226.85805147368646,223.8258455789406241365213646,-1631162904070156422.878600194,2022-10-26 10:25:00-04:00,225.3419485263135413788404548,Other,0.7580514736864586211595452,-1631162904070156422.878600310,100.0000000000000000000000071,Win,-2151783830902266265.082538323
2022-11-02 10:00:00-04:00,226.57,Long,223.7289157796751,235.0932526609746832946257200,-112332081105929709317.1704957,2022-11-02 10:05:00-04:00,229.4110842203248944315419066,Other,2.841084220324894431541906670,-112332081105929709317.1704929,99.99999999999999999999999751,Loss,-39538455179299079489.32501751
2022-11-02 10:35:00-04:00,223.02,Short,223.7289157796751,220.8932526609746832946257200,-1986473865004542258.797192036,2022-11-02 10:40:00-04:00,222.3110842203248944315419066,Other,0.7089157796751055684580934,-1986473865004542258.797192231,100.0000000000000000000000098,Win,-2802129564551290635.368356559
2022-11-03 11:45:00-04:00,215.89,Short,216.51558569642367,214.0132429107289885905629490,-55686422135149173066.23726387,2022-11-03 11:50:00-04:00,215.2644143035763295301876496,Other,0.6255856964236704698123504,-55686422135149173066.23726853,100.0000000000000000000000084,Win,-89014858321562720354.88001667
2022-11-04 10:45:00-04:00,206.215,Short,206.65952420084653,204.8814273974603997885424178,-439181578053945802029.3394301,2022-11-04 10:50:00-04:00,205.7704757991534665961808060,Other,0.4445242008465334038191940,-439181578053945802029.3393674,99.99999999999999999999998572,Win,-987981255503269938731.3344738
2022-11-04 11:05:00-04:00,207.685,Long,206.65952420084653,210.7614273974603997885424178,-2258538836227543979099.080074,2022-11-04 11:10:00-04:00,208.7104757991534665961808060,Other,1.025475799153466596180805936,-2258538836227543979099.080215,100.0000000000000000000000062,Loss,-2202430167627529275264.116996
2022-11-10 10:10:00-05:00,187.355,Long,187.045353953477,188.2839381395690293174993712,-3401213218281296173147.687432,2022-11-10 10:15:00-05:00,187.6646460465230097724997904,Other,0.3096460465230097724997904152,-3401213218281296173147.687265,99.99999999999999999999999509,Loss,-10984197138872729950677.33613
2022-11-14 09:45:00-05:00,192.11,Short,192.4358966617174,191.1323100148477772108890349,-325570108360163012982.9535206,2022-11-14 09:50:00-05:00,191.7841033382825924036296783,Other,0.3258966617174075963703217,-325570108360163012982.9535221,100.0000000000000000000000005,Win,-998997984957797004908.8216319
2022-11-22 10:00:00-05:00,169.375,Long,169.05909834120638,170.3227049763808622628857847,-351377789509663485521618.9039,2022-11-22 10:05:00-05:00,169.6909016587936207542952616,Other,0.3159016587936207542952615768,-351377789509663485521618.9298,100.0000000000000000000000074,Loss,-1112301185285067987367669.153
2022-12-05 11:40:00-05:00,183.15,Long,182.81353546772436,184.1593935968269079239689745,-3696839884172876663984064.230,2022-12-05 11:45:00-05:00,183.4864645322756359746563248,Other,0.3364645322756359746563248336,-3696839884172876663984063.861,99.99999999999999999999999002,Loss,-10987309298753602226851102.83
